PEM Size (MW),Curtailment Recovery (%),Residual Curtailment (MWh/year),H2 (kg/year),Utilization (%),Discounted LCOH (EUR/kg H2),NPV (EUR),PV Opportunity Cost (EUR/year),Pareto Efficient,Ideal-Point Distance
1.69,81.47078089937875,493.3994,53489.61798751172,18.82590378536111,6.519435138857979,220023.37554926868,100580.16413,True,0.2294285499296593
1.7,81.80483676297679,484.5041,53731.045321546044,18.796269137792105,6.527096196481421,217493.06404902413,101097.47516,True,0.23018191427760376
1.71,82.13818660763948,475.6276,53977.532753671505,18.768527864562472,6.534612276838502,215018.22235003137,101643.72636500001,True,0.23094048824886637
1.72,82.469936643438,466.7937,54217.63321182308,18.73909419135606,6.5418556919339945,212613.17132074735,102137.11514000001,True,0.2316783959128069
1.73,82.7998352572412,458.0091,54456.79160027977,18.70963589093885,6.549580935786937,209950.1211450945,102654.05135,True,0.23258155819405363
1.74,83.12719896263286,449.292,54706.10461987053,18.68345864168372,6.557540469411762,207184.21340829786,103254.08678,True,0.2335873626547809
1.75,83.45257605091389,440.6278,54937.43992294203,18.65209849967384,6.5660450433074615,204061.17626851052,103770.00146,True,0.23478762794790906
1.76,83.77722458774033,431.983,55173.93643966937,18.62262544105438,6.574354121207757,201015.57936523017,104312.997328,True,0.23598043943215385
1.77,84.10122343692946,423.3555,55409.96528271611,18.593342233573253,6.582120519095867,198192.05443227175,104826.774913,True,0.23707496877793574
1.78,84.42377644946907,414.7665,55656.81341477436,18.56752732030168,6.590069608023076,195288.095590882,105425.68457800001,True,0.238255844795321
1.79,84.74483480490088,406.2173,55902.98782651607,18.541747021759647,6.598028012798307,192343.7698866555,106024.594243,True,0.2394827729908061
1.8,85.06403047207768,397.7177,56142.47746754574,18.514226281075594,6.606189468700147,189245.78446395532,106594.662508,True,0.24081115054246377
1.81,85.3820920024541,389.2483,56375.46067172184,18.48508791846414,6.614521180564697,186010.70505545032,107135.20234300001,True,0.24223122673719227
1.82,85.69876402747902,380.8159,56619.56031880671,18.459428471072307,6.622507556439092,182945.64264369267,107733.69427,True,0.24359472511106525
1.83,86.01345319081315,372.4363,56856.85664643314,18.43201337425456,6.630181128322463,179977.92068461934,108273.19072,True,0.2449170435101911
1.84,86.32556238069736,364.1254,57087.009651925386,18.402739105618423,6.638156016804005,176809.65009760973,108786.11392,True,0.24636829894666626
1.85,86.63577883896764,355.8649,57310.190209084496,18.371724669875356,6.645731773426637,173784.6317990285,109233.49388200001,True,0.24775117975601182
1.86,86.94428658119757,347.6499,57532.439013554016,18.340714759169245,6.65343838165485,170663.46687218337,109685.58434200002,True,0.24920964498202472
1.87,87.2507663966983,339.4889,57765.83751057963,18.31308329060142,6.661779116106094,167231.77884840104,110252.000922,True,0.25088295491539214
1.88,87.55302887568625,331.4402,58003.62003373031,18.286760419702713,6.670064962096059,163806.39490528475,110848.36918199998,True,0.25258336097497686
1.89,87.85059332441821,323.5166,58233.3716954238,18.258248169892006,6.678218837131813,160390.95309453132,111387.35987699998,True,0.2542934922022453
1.9,88.14548391420352,315.6642,58443.385827060796,18.22446226868541,6.686927984748693,156612.68379507493,111830.57683199999,True,0.2562137532801159
1.91,88.43916525879105,307.844,58671.251559195516,18.19590296205982,6.695608224130829,152864.1275145812,112395.28363199998,True,0.25815586352678976
1.92,88.73158102688276,300.0575,58898.467928117345,18.167425917998475,6.7037148689680555,149369.23958078795,112925.80893199999,True,0.2599659160160061
